# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  9.05875547976353e+00  -1.09697190407359e-01   3.34850746897508e-01   1.65840721663939e-01   1.74266637320620e-01  -2.54810163474456e-01
  9.11332569349704e+00  -1.07326229601669e-01   3.36210216899542e-01   1.64574844769723e-01   1.71580838662504e-01  -2.57528697169619e-01
  9.16789590723056e+00  -1.04999088384794e-01   3.37490231110043e-01   1.63238156004364e-01   1.68924565589232e-01  -2.60183987405657e-01
  9.22246612096408e+00  -1.02715228119910e-01   3.38691783841751e-01   1.61831857722960e-01   1.66297868829865e-01  -2.62776164264159e-01
  9.27703633469759e+00  -1.00474105444325e-01   3.39815881874555e-01   1.60357164109383e-01   1.63700783339469e-01  -2.65305380898566e-01
  9.33160654843110e+00  -9.82751729264437e-02   3.40863543441770e-01   1.58815300192610e-01   1.61133328883407e-01  -2.67771812816756e-01
  9.38617676216462e+00  -9.61178796924552e-02   3.41835797247129e-01   1.57207500887623e-01   1.58595510607839e-01  -2.70175657173893e-01
  9.44074697589813e+00  -9.40016720237560e-02   3.42733681511942e-01   1.55535010060614e-01   1.56087319596588e-01  -2.72517132075658e-01
  9.49531718963165e+00  -9.19259939260942e-02   3.43558243051893e-01   1.53799079618251e-01   1.53608733414524e-01  -2.74796475891944e-01
  9.54988740336517e+00  -8.98902876714087e-02   3.44310536382933e-01   1.52000968620740e-01   1.51159716637616e-01  -2.77013946581113e-01
  9.60445761709868e+00  -8.78939943133022e-02   3.44991622855722e-01   1.50141942418407e-01   1.48740221369835e-01  -2.79169821024852e-01
  9.65902783083220e+00  -8.59365541770672e-02   3.45602569818090e-01   1.48223271811531e-01   1.46350187747068e-01  -2.81264394373723e-01
  9.71359804456571e+00  -8.40174073251603e-02   3.46144449804964e-01   1.46246232233139e-01   1.43989544428220e-01  -2.83297979403420e-01
  9.76816825829923e+00  -8.21359939989951e-02   3.46618339755237e-01   1.44212102954476e-01   1.41658209073691e-01  -2.85270905881783e-01
  9.82273847203274e+00  -8.02917550379015e-02   3.47025320255024e-01   1.42122166312850e-01   1.39356088811405e-01  -2.87183519946590e-01
  9.87730868576626e+00  -7.84841322760760e-02   3.47366474806787e-01   1.39977706961572e-01   1.37083080690573e-01  -2.89036183494146e-01
  9.93187889949977e+00  -7.67125689183261e-02   3.47642889123781e-01   1.37780011141655e-01   1.34839072123396e-01  -2.90829273578662e-01
  9.98644911323329e+00  -7.49765098953863e-02   3.47855650449306e-01   1.35530365975005e-01   1.32623941314881e-01  -2.92563181822441e-01
  1.00410193269668e+01  -7.32754021995665e-02   3.48005846900222e-01   1.33230058778755e-01   1.30437557680977e-01  -2.94238313836838e-01
  1.00955895407003e+01  -7.16086952014667e-02   3.48094566834218e-01   1.30880376400468e-01   1.28279782255214e-01  -2.95855088653992e-01
  1.01501597544338e+01  -6.99758409484739e-02   3.48122898240310e-01   1.28482604573856e-01   1.26150468084061e-01  -2.97413938169291e-01
  1.02047299681673e+01  -6.83762944457361e-02   3.48091928152054e-01   1.26038027294732e-01   1.24049460611173e-01  -2.98915306594548e-01
