# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p  R_3d
  8.55152728295518E-01   6.70598865798296E-02   2.85919815794317E-02   1.69253636188066E-02   1.08346722335785E-01   6.34627280954856E-02   4.43246401759687E-03
  8.62653190824426E-01   6.40802148699904E-02   2.70577428595546E-02   1.59611129867156E-02   1.09708774230606E-01   6.42458740907014E-02   4.53577977569678E-03
  8.70153653353334E-01   6.10928959001744E-02   2.55199451033731E-02   1.49947041823322E-02   1.11073399659016E-01   6.50300198857800E-02   4.64051425241419E-03
  8.77654115882243E-01   5.80983781960258E-02   2.39788290248205E-02   1.40262904641144E-02   1.12440516937473E-01   6.58151111189331E-02   4.74667197717410E-03
  8.85154578411151E-01   5.50971000827580E-02   2.24346302903203E-02   1.30560219521079E-02   1.13810044898429E-01   6.66010937418667E-02   4.85425737845694E-03
  8.92655040940059E-01   5.20894899821239E-02   2.08875796624238E-02   1.20840457165411E-02   1.15181902888074E-01   6.73879140189858E-02   4.96327478423127E-03
  9.00155503468967E-01   4.90759666981292E-02   1.93379031379437E-02   1.11105058630117E-02   1.16556010764374E-01   6.81755185267684E-02   5.07372842239694E-03
  9.07655965997875E-01   4.60569396919599E-02   1.77858220808152E-02   1.01355436144091E-02   1.17932288895391E-01   6.89638541532952E-02   5.18562242123804E-03
  9.15156428526783E-01   4.30328093465778E-02   1.62315533499077E-02   9.15929738971013E-03   1.19310658157847E-01   6.97528680979213E-02   5.29896080988567E-03
  9.22656891055691E-01   4.00039672214142E-02   1.46753094220005E-02   8.18190287978162E-03   1.20691039935920E-01   7.05425078710765E-02   5.41374751879006E-03
  9.30157353584599E-01   3.69707962975791E-02   1.31172985101250E-02   7.20349312031468E-03   1.22073356120249E-01   7.13327212941838E-02   5.52998638020176E-03
  9.37657816113507E-01   3.39336712139792E-02   1.15577246774704E-02   6.22419856201306E-03   1.23457529107127E-01   7.21234564996820E-02   5.64768112866163E-03
