# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  9.05875547976353E+00  -1.09697190407359E-01   3.34850746897508E-01   1.65840721663939E-01   1.74266637320620E-01  -2.54810163474456E-01
  9.11332569349704E+00  -1.07326229601669E-01   3.36210216899542E-01   1.64574844769723E-01   1.71580838662504E-01  -2.57528697169619E-01
  9.16789590723056E+00  -1.04999088384794E-01   3.37490231110043E-01   1.63238156004364E-01   1.68924565589232E-01  -2.60183987405657E-01
  9.22246612096408E+00  -1.02715228119910E-01   3.38691783841751E-01   1.61831857722960E-01   1.66297868829865E-01  -2.62776164264159E-01
  9.27703633469759E+00  -1.00474105444325E-01   3.39815881874555E-01   1.60357164109383E-01   1.63700783339469E-01  -2.65305380898566E-01
  9.33160654843110E+00  -9.82751729264437E-02   3.40863543441770E-01   1.58815300192610E-01   1.61133328883407E-01  -2.67771812816756E-01
  9.38617676216462E+00  -9.61178796924552E-02   3.41835797247129E-01   1.57207500887623E-01   1.58595510607839E-01  -2.70175657173893E-01
  9.44074697589813E+00  -9.40016720237560E-02   3.42733681511942E-01   1.55535010060614E-01   1.56087319596588E-01  -2.72517132075658E-01
  9.49531718963165E+00  -9.19259939260942E-02   3.43558243051893E-01   1.53799079618251E-01   1.53608733414524E-01  -2.74796475891944E-01
  9.54988740336517E+00  -8.98902876714087E-02   3.44310536382933E-01   1.52000968620740E-01   1.51159716637616E-01  -2.77013946581113E-01
  9.60445761709868E+00  -8.78939943133022E-02   3.44991622855722E-01   1.50141942418407E-01   1.48740221369835E-01  -2.79169821024852E-01
  9.65902783083220E+00  -8.59365541770672E-02   3.45602569818090E-01   1.48223271811531E-01   1.46350187747068E-01  -2.81264394373723E-01
  9.71359804456571E+00  -8.40174073251603E-02   3.46144449804964E-01   1.46246232233139E-01   1.43989544428220E-01  -2.83297979403420E-01
  9.76816825829923E+00  -8.21359939989951E-02   3.46618339755237E-01   1.44212102954476E-01   1.41658209073691E-01  -2.85270905881783E-01
  9.82273847203274E+00  -8.02917550379015E-02   3.47025320255024E-01   1.42122166312850E-01   1.39356088811405E-01  -2.87183519946590E-01
  9.87730868576626E+00  -7.84841322760760E-02   3.47366474806787E-01   1.39977706961572E-01   1.37083080690573E-01  -2.89036183494146E-01
  9.93187889949977E+00  -7.67125689183261E-02   3.47642889123781E-01   1.37780011141655E-01   1.34839072123396E-01  -2.90829273578662E-01
  9.98644911323329E+00  -7.49765098953863E-02   3.47855650449306E-01   1.35530365975005E-01   1.32623941314881E-01  -2.92563181822441E-01
  1.00410193269668E+01  -7.32754021995665E-02   3.48005846900222E-01   1.33230058778755E-01   1.30437557680977E-01  -2.94238313836838E-01
  1.00955895407003E+01  -7.16086952014667E-02   3.48094566834218E-01   1.30880376400468E-01   1.28279782255214E-01  -2.95855088653992E-01
  1.01501597544338E+01  -6.99758409484739E-02   3.48122898240310E-01   1.28482604573856E-01   1.26150468084061E-01  -2.97413938169291E-01
  1.02047299681673E+01  -6.83762944457361E-02   3.48091928152054E-01   1.26038027294732E-01   1.24049460611173E-01  -2.98915306594548E-01
